Text,Media,GPE
"Heavy fighting continued in eastern Ukraine, where Russia is pushing to seize the city of Bakhmut",WSJ,Ukraine
"A senior German intelligence officer arrested on suspicion of spying for Russia had access to top-secret information about the war in Ukraine as well as knowledge of how it was collected by the U.S. and its allies, Western officials said",WSJ,Ukraine
"Ukrainian authorities said their army was closing in on the Russian-occupied city of Kreminna, control of which could allow Kyiv to significantly expand its efforts to retake Russian-held areas in Ukraine’s east",WSJ,Ukraine
"Russian President Vladimir Putin’s energy war has failed to deter European Union countries from backing Ukraine, but many fear an endless conflict",WSJ,Ukraine
"“We were heroes, real men. We were relaxed.” A lack of training and professionalism are costing Ukraine the fighters it desperately needs.",WSJ,Ukraine
Ukraine relies on volunteer units that make up for their limited military experience with bravery that verges on recklessness. “I want to die like a hero so my kids know I did something for the country.”,WSJ,Ukraine
Russia launched a large new round of missile strikes aimed at targets across Ukraine as the country battled to repair damaged electricity infrastructure,WSJ,Ukraine
"A senior German intelligence officer arrested on suspicion of spying for Russia had access to top-secret information about the war in Ukraine as well as knowledge of how it was collected by the U.S. and its allies, Western officials said",WSJ,Ukraine
"“We were heroes, real men. We were relaxed.” A lack of training and professionalism are costing Ukraine the fighters it desperately needs.",WSJ,Ukraine
Ukraine relies on volunteer units that make up for their limited military experience with bravery that verges on recklessness,WSJ,Ukraine
Ukraine relies on volunteer units that make up for their limited military experience with bravery that verges on recklessness. “I want to die like a hero so my kids know I did something for the country.”,WSJ,Ukraine
