Text,Media,GPE
"""The expected move by the January 6 committee to formally ask the Department of Justice to prosecute former President Donald Trump over his role in the US Capitol insurrection will make history,"" writes Stephen Collinson | Analysis",CNN,USA
"The TSA is expanding its test of facial recognition technology at select US airports, but the pilot program is not without criticism.",CNN,USA
"The US National Park Service includes popular parks such as Yosemite and Zion, but there are alternative park systems that offer a chance to get away from it all on your own rather than be elbow-to-elbow with other nature seekers.",CNN,USA
"A US Navy investigation found that three suicides within one week in April among the crew of an aircraft carrier in Newport News, Virginia, were “not related or connected.”",CNN,USA
"The US is expected to send Ukraine precision bomb kits that will turn existing unguided munitions, or “dumb” bombs, into precision-guided “smart” bombs known",CNN,USA
"United States President Joe Biden, Russian President Vladimir Putin and French President Emmanuel Macron are amongst world leaders who have congratulated Argentina President Alberto Fernández.",CNN,USA
Travel chaos is expected across the US as winter weather worsens,CNN,USA
"A 6.4 magnitude earthquake was detected about 7.5 miles west-southwest of Ferndale, California, in Humboldt County, the US Geological Survey says",CNN,USA
British Airways flights from the United States were delayed due to technical difficulties.,CNN,USA
"Key US airlines have issued travel waivers ahead of what's forecast to be a brutal ""bomb cyclone"" of wintry weather in the Midwest and other regions later this week.",CNN,USA
"The Biden administration is unveiling a new proposed rule that, if enacted, would effectively phase out compact fluorescent light bulbs and move the US light bulb markets decisively to more energy-efficient LEDs.",CNN,USA
"The TSA is expanding its test of facial recognition technology at select US airports, but the pilot program is not without criticism.",CNN,USA
An independent panel of experts says its review of the US Food and Drug Administration’s tobacco program found numerous wide-ranging problems that hinder its ability to regulate the industry and reduce tobacco-related disease and death.,CNN,USA
"Lawmakers reached an agreement to include in must-pass legislation a measure aimed at making it harder to overturn a certified presidential election, marking the first legislative response to the US Capitol insurrection",CNN,USA
"The House select committee investigating the January 6, 2021, attack on the US Capitol has concluded that former President Trump was ultimately responsible for the insurrection. Here's what’s in the House January 6 committee report summary:",CNN,USA
"House Republicans released a report focused on security failures at the US Capitol on January 6, 2021, highlighting well-documented breakdowns in intelligence sharing and coordination between various law enforcement agencies that responded that day.",CNN,USA
"The US announced this week that it is providing a Patriot missile battery to Ukraine — but experts say that while it will be a valuable addition to the beleaguered country’s air defense, it’s not a cure-all.",CNN,USA
"An arctic blast and bomb cyclone will push through most of the United States as the season officially starts, and that's bound to bring disruptions for millions of holiday travelers.",CNN,USA
Walmart said it has reached agreements with all 50 US states as part of a $3.1 billion nationwide opioid settlement.,CNN,USA
"EXCLUSIVE: The Biden administration has launched an expansive task force to investigate how US and western components are ending up in Iranian-made drones Russia is launching into Ukraine, multiple officials familiar with the effort tell CNN",CNN,USA
"Ukrainian President Volodymyr Zelensky is paying a dramatic visit to the US, using his first trip outside his homeland since it was invaded 300 days ago to rally his top international partner behind sustained military and economic assistance.",CNN,USA
